id,town,rd_imp,latitude,longitude,Soil_Drainage_Class,Soil_Moisture,Soil_pH,Soil_Elec_Conductivity,Soil_Surface_Texture,Flooding_Frequency,Corrosion of concrete,Corrosion of steel,year_built,owner,inv_dt,cul_type,cul_matl,hdr_matl,height,width,length,oa_cond,alignment
3d74563c-127c-4d8e-8706-237386763691,GOSHEN,2,43.8591276,-73.0171345,,,,,,,,,2017,Town Highway,11/3/2018,Round,Plastic Corrugated,Stone masonry,24,24,40,Good,No
fbe273c5-05cb-40ff-9a69-2376be14e8bd,SPRINGFIELD,1,43.32307529,-72.50273822,,,,,,,,,2016,Town Highway,8/8/2016,Round,Plastic Smooth,Rip-rap,18,18,32,Excellent,Yes
da9d14b3-1f94-4ba8-9c58-243393ac2fb0,GROTON,1,44.21958678,-72.27689041,,,,,,,,,2015,Town Highway,9/8/2015,Round,Plastic Smooth,Rip-rap,24,24,40,Excellent,No
3f093f5a-3af8-4e74-9be2-245e5f8292a0,ANDOVER,2,43.25560044,-72.70509203,,,,,,,,,2011,Town Highway,9/30/2014,Round,Plastic Corrugated,Stone masonry,18,18,24,Good,No
25ad7fa1-2eac-483e-b51b-246b2ba99ff1,SPRINGFIELD,2,43.32874792,-72.41213195,,,,,,,,,2002,Town Highway,8/16/2016,Round,Plastic Smooth,Stone masonry,18,18,40,Good,No
9fabd7e1-aec6-4962-b2ce-247b44688d90,WINDSOR,1,43.47047008,-72.45126638,,,,,,,,,2011,Town Highway,10/11/2016,Round,Plastic Corrugated,Stone masonry,24,24,30,Excellent,No
385d52f0-c11b-4f8a-a50c-250110866d36,SPRINGFIELD,1,43.26934661,-72.53915517,,,,,,,,,2013,Town Highway,8/10/2016,Round,Plastic Smooth,Stone masonry,18,18,46,Good,No
f5712e02-c7c1-4bcd-b9e8-250f822b03d0,WILMINGTON,3,42.88331589,-72.82011024,,,,,,,,,2018,Town Highway,10/24/2018,Round,Plastic Smooth,Concrete,18,18,38,Excellent,No
6236c7ec-3eba-4aa7-bfd4-25b3b8b16135,GOSHEN,2,43.92154904,-73.01857025,,,,,,,,,2015,Town Highway,5/28/2020,Round,Steel Corrugated,Concrete,48,48,50,Good,No
9a99c282-12a4-4800-ac91-25c3b452b16a,SPRINGFIELD,1,43.32386066,-72.43160582,,,,,,,,,2016,Town Highway,11/29/2016,Round,Plastic Smooth,Stone masonry,24,24,30,Excellent,No
39eee7fa-6dab-4a6b-b172-25c992c53e5e,SPRINGFIELD,3,43.32769603,-72.52605152,,,,,,,,,2002,Town Highway,8/9/2016,Round,Plastic Smooth,Stone masonry,36,36,50,Excellent,No
6cfb8a3b-ae8c-4c76-9e79-25f2e7ee3333,WARREN,1,44.09991147,-72.8109913,,,,,,,,,2010,Town Highway,7/28/2017,Round,Steel Corrugated,Stone masonry,18,18,40,Good,No
5efff3d5-efd4-4b98-99a6-26206e9b00fe,GOSHEN,3,43.85156099,-73.01748988,,,,,,,,,2020,Town Highway,12/30/2020,Round,Plastic Smooth,Stone masonry,24,24,50,Excellent,No
32c10576-81ef-4b51-927a-262ea0f845a4,SPRINGFIELD,1,43.27542384,-72.46855763,,,,,,,,,2014,Town Highway,8/12/2016,Round,Plastic Smooth,Stone masonry,24,24,50,Good,No
d4ba249d-efa0-4577-8e4b-263631ac8116,MIDDLEBURY,3,44.03369003,-73.11986517,,,,,,,,,2008,Town Highway,11/26/2018,Round,Concrete Sectional,Rip-rap,36,36,72,Excellent,No
6446b383-b62b-4faa-b6ac-26e9660096a9,CHARLOTTE,2,44.2875042,-73.21017268,,,,,,,,,2019,Town Highway,7/22/2019,Round,Steel Corrugated,Stone masonry,18,18,30,Excellent,No
901e7f97-719a-4a8e-b972-26ef568c2821,TINMOUTH,3,43.41870596,-73.03601021,,,,,,,,,1974,Town Highway,5/25/2020,Round,Steel Corrugated,Stone masonry,24,24,30,Good,No
6d180fbc-4415-451a-b003-270593866090,WILMINGTON,3,42.87912551,-72.87538086,,,,,,,,,2016,Town Highway,8/30/2018,Round,Plastic Smooth,Concrete,18,18,58,Excellent,No
1959c63e-6c3d-4cf0-b30c-27adf1924a28,KILLINGTON,1,43.65420732,-72.78865033,,,,,,,,,1999,"Private, (other than railroad)",9/29/2020,Round,Plastic Smooth,Stone masonry,18,18,35,Good,No
9d396b16-1e38-4a01-a384-27fdd39b629b,ANDOVER,1,43.32618741,-72.71524325,,,,,,,,,2002,Town Highway,9/1/2013,Round,Plastic Corrugated,Stone masonry,18,18,20,Excellent,No
54ba733a-9ae0-485a-b972-282674b3c389,WARREN,1,44.09382966,-72.83667847,,,,,,,,,2011,Town Highway,7/2/2018,Round,Steel Corrugated,Concrete,18,18,40,Fair,No
4ccd55d1-3d1f-4061-b63c-283e9870d97f,SPRINGFIELD,1,43.30421268,-72.4632538,,,,,,,,,2000,Town Highway,8/23/2016,Round,Plastic Smooth,Stone masonry,12,12,35,Good,No
196d1467-c4bd-4256-8aa8-287a1b13cfb0,READING,1,43.50182096,-72.57947123,,,,,,,,,2011,Town Highway,7/6/2016,Round,Plastic Corrugated,Stone masonry,15,15,34,Good,No
f3f92947-4b99-49c5-8599-28e477297b8c,ANDOVER,1,43.30262696,-72.70152153,,,,,,,,,2007,Town Highway,9/1/2013,Round,Plastic Corrugated,Stone masonry,18,18,26,Excellent,No
694a950f-4288-47be-9a9c-28f1440454db,LUDLOW,1,43.35815867,-72.69733587,,,,,,,,,2017,Town Highway,8/10/2017,Round,Plastic Corrugated,Stone masonry,18,18,40,Excellent,No
25d8a953-f934-46d1-9b69-28fbf3902cb0,ANDOVER,2,43.28184624,-72.70751068,,,,,,,,,2013,Town Highway,9/30/2014,Round,"Pipe, Metal",Stone masonry,18,18,53,Fair,No
79830a4f-ab52-4c93-a689-290c62b66a00,SPRINGFIELD,1,43.26066297,-72.53601292,,,,,,,,,2013,Town Highway,8/10/2016,Round,Plastic Smooth,Stone masonry,18,18,55,Good,No
5400fff8-3b81-45b7-999f-29501d6bffe6,WARREN,1,44.13475648,-72.87742464,,,,,,,,,2017,Town Highway,10/5/2017,Round,Steel Corrugated,Stone masonry,24,24,44,Excellent,No
c0227a05-285a-4f19-9f06-295b39e51e83,BALTIMORE,1,43.35004907,-72.5644614,,,,,,,,,2002,Town Highway,6/17/2014,Box,Concrete Sectional,Concrete,72,60,32,Good,No
c98e8d6d-7eab-4640-829a-29a155e51fce,ANDOVER,3,43.27750472,-72.70126905,,,,,,,,,2016,Town Highway,9/7/2016,Round,Plastic Corrugated,Stone masonry,36,36,60,Excellent,No
ad0f5bd4-6290-4fdc-9dac-29d6590a74b1,SPRINGFIELD,1,43.32136685,-72.46182977,,,,,,,,,2002,Town Highway,8/16/2016,Round,Plastic Smooth,Stone masonry,18,18,40,Good,No
f61b80b0-018b-42b7-a5a4-2a1361cea176,READING,1,43.47843728,-72.58095751,,,,,,,,,2011,Town Highway,6/29/2016,Round,Plastic Corrugated,Stone masonry,18,18,40,Good,No
f82749ad-393a-4620-93a8-2a22664874d1,SPRINGFIELD,3,43.26381628,-72.4831406,,,,,,,,,2002,Town Highway,8/12/2016,Round,Plastic Smooth,Stone masonry,15,15,40,Good,No
5cc3c5ff-4c7a-4cd2-a018-2aa945685cc8,UNDERHILL,2,44.56959545,-72.88315607,,,,,,,,,2014,Town Highway,8/6/2018,Round,Steel Corrugated,Rip-rap,18,18,60,Fair,No
26984bb8-63c7-49a5-8f2b-2ab0bc08accc,BOLTON,1,44.416559,-72.8510631,,,,,,,,,2017,Town Highway,7/19/2018,Round,Steel Corrugated,Concrete,36,36,50,Excellent,No
c20197d5-1928-42c9-add5-2ac93c8fa813,STRATTON,1,43.11036052,-72.88381125,,,,,,,,,2011,Town Highway,11/17/2016,Round,Plastic Smooth,Stone masonry,15,15,28,Poor,No
ddd2d10d-5d5e-40fc-a9de-2aebbde05584,ANDOVER,1,43.28053843,-72.69658023,,,,,,,,,2017,Town Highway,10/8/2018,Round,Plastic Corrugated,Stone masonry,24,24,40,Excellent,No
b2e50298-407f-494d-9aa7-2af736de1040,WEATHERSFIELD,2,43.39783002,-72.48760099,,,,,,,,,2011,Town Highway,5/12/2014,Round,Plastic Corrugated,Stone masonry,18,18,40,Good,No
6f976f4c-737d-46a8-85e4-2b5c93b486f3,WEATHERSFIELD,1,43.39541773,-72.42508473,,,,,,,,,2009,Town Highway,8/25/2014,Round,Steel Corrugated,Stone masonry,24,24,58,Good,No
f5ca1a9b-b493-4b93-a49e-2b9836252b9e,COLCHESTER,3,44.54690787,-73.14436823,,,,,,,,,2013,Town Highway,7/2/2019,Round,Plastic Corrugated,Concrete,4,4,30,Good,No
9820fa69-cc2b-442d-b26c-2bc236735d8d,WILMINGTON,1,42.85321089,-72.87077614,,,,,,,,,2011,Town Highway,11/8/2018,Round,Plastic Smooth,Stone masonry,36,36,30,Excellent,No
1aa960bf-15d0-4baa-a8fd-2c0264b45690,GOSHEN,2,43.86710672,-73.01566099,,,,,,,,,2019,Town Highway,6/24/2019,Round,Plastic Corrugated,Concrete,24,24,50,Excellent,No
5d86216c-9746-409a-bafa-2c59e194c500,WEATHERSFIELD,1,43.35554733,-72.43303117,,,,,,,,,2006,"Private, (other than railroad)",5/21/2014,Round,Plastic Corrugated,Stone masonry,18,18,28,Good,No
b4f7810d-17a3-4144-838d-2c9d07df5b7a,ANDOVER,1,43.27674644,-72.70863678,,,,,,,,,2014,Town Highway,9/30/2014,Round,Steel Corrugated,Stone masonry,18,18,35,Good,No
af259e16-143a-4625-a135-2d18a080ba05,PUTNEY,3,42.98954395,-72.55654646,,,,,,,,,2013,Town Highway,4/17/2015,Round,Plastic Smooth,Stone masonry,48,48,74,Excellent,No
9c6e63ed-9ad1-425d-8136-2e84e19abf49,SPRINGFIELD,1,43.31988284,-72.43015582,,,,,,,,,2016,Town Highway,11/29/2016,Round,Plastic Smooth,Stone masonry,18,18,30,Excellent,No
5849503a-6d65-4cb0-9827-2e8f9958b931,READING,1,43.51873101,-72.54192058,,,,,,,,,2019,Town Highway,2/13/2020,Round,Plastic Corrugated,Stone masonry,18,18,20,Good,No
6920eb0a-0562-4bc6-91c9-2eee03bd3dd4,WILMINGTON,3,42.89998987,-72.8349231,,,,,,,,,2015,Town Highway,10/24/2018,Round,Plastic Smooth,Concrete,18,18,55,Good,No
dc2c6cdc-185a-4d8c-9444-2f162557e24f,WARREN,1,44.08962816,-72.85060651,,,,,,,,,2011,Town Highway,7/2/2018,Round,Steel Corrugated,Stone masonry,18,18,35,Good,No
523fd612-bcf2-4a7e-8031-2f4894a7e00a,ANDOVER,1,43.24736927,-72.74526103,,,,,,,,,1992,Town Highway,9/1/2013,Round,Plastic Corrugated,Stone masonry,15,15,35,Excellent,No
c1dfb3b1-4a72-4881-8052-2fa0e417d291,GROTON,1,44.23979765,-72.23777287,,,,,,,,,2015,"Private, (other than railroad)",10/19/2015,Round,Plastic Smooth,Rip-rap,18,18,20,Excellent,No
cac0cdd2-4ee2-4e2c-ae2a-2fa47f103f5b,ANDOVER,1,43.26803573,-72.73381698,,,,,,,,,2017,Town Highway,10/8/2018,Round,Plastic Corrugated,Stone masonry,18,18,20,Excellent,No
763c955d-f4ef-4a08-86a5-2fe3f675c783,READING,1,43.50596735,-72.55478823,,,,,,,,,2012,Town Highway,6/30/2016,Round,Plastic Corrugated,Stone masonry,15,15,30,Excellent,No
de266d90-bd4b-4f3b-980c-30809cebf546,LUDLOW,1,43.37281668,-72.70403591,,,,,,,,,2016,Town Highway,6/6/2017,Round,Plastic Smooth,Stone masonry,12,12,38,Good,No
912f1c84-8103-4377-a259-308fcbfc4324,BALTIMORE,2,43.36921073,-72.55590382,,,,,,,,,2016,Town Highway,3/23/2017,Round,Plastic Corrugated,Stone masonry,24,24,40,Excellent,No
70056a1b-f715-416d-956b-30b3100c4eed,TINMOUTH,1,43.49063737,-73.03210079,,,,,,,,,1974,Town Highway,5/15/2020,Round,Steel Corrugated,Stone masonry,15,15,30,Poor,No
04fc72e3-c67f-4069-9ef2-30d9fffeda2c,WEATHERSFIELD,1,43.35611816,-72.45016412,,,,,,,,,2009,"Private, (other than railroad)",5/19/2014,Round,Steel Corrugated,Stone masonry,15,15,30,Good,No
3d179957-7cde-4be3-8dfa-31ac851d2492,ANDOVER,1,43.25182223,-72.68771935,,,,,,,,,2014,Town Highway,9/30/2014,Round,Steel Corrugated,Stone masonry,18,18,40,Good,No
68e1e413-3bf9-4050-a06c-326b116327d2,JERICHO,3,44.49203592,-73.00662607,,,,,,,,,2016,"Private, (other than railroad)",6/17/2020,Round,Steel Corrugated,Stone masonry,18,18,30,Good,Yes
b32bd2a3-70ac-4962-bfc6-328a7c48f135,WAITSFIELD,2,44.2021794,-72.79419906,,,,,,,,,2014,Town Highway,9/15/2020,Ellipse/Squashed,Steel Corrugated,Rip-rap,67,95,60,Good,No
17fdc871-146f-473a-9cce-32c347164603,BOLTON,1,44.419268,-72.8518422,,,,,,,,,2017,Town Highway,7/19/2018,Round,Steel Corrugated,Stone masonry,24,24,50,Excellent,No
54d2d35e-8dcb-4a72-834c-3341bcda7f05,GROTON,1,44.23976114,-72.23997228,,,,,,,,,2015,"Private, (other than railroad)",10/19/2015,Round,"Pipe, Metal",Stone masonry,18,18,66,Good,No
5f0da81e-956e-402b-bdc3-3398b69696f4,ORANGE,1,44.10411845,-72.34604184,,,,,,,,,2014,Town Highway,7/5/2017,Round,Plastic Corrugated,Stone masonry,18,18,40,Good,No
f9a8ccdc-d212-490e-b419-343e45bbaca0,GROTON,1,44.19355337,-72.22753756,,,,,,,,,2015,"Private, (other than railroad)",10/2/2015,Round,Plastic Smooth,Stone masonry,15,15,30,Excellent,No
fe107e2e-d230-473e-9c92-34ce8ce722dd,UNDERHILL,1,44.59619367,-72.91863721,,,,,,,,,2015,Town Highway,8/12/2019,Round,Steel Corrugated,Stone masonry,18,18,40,Good,No
9b267365-c192-407d-a7f1-3503f8083108,TINMOUTH,1,43.45629458,-73.08162544,,,,,,,,,1984,Town Highway,5/21/2020,Round,Steel Corrugated,Stone masonry,18,18,50,Good,No
d6c1027d-4ef3-47ba-a99d-354a6c3318d3,BRATTLEBORO,2,42.83682166,-72.58472301,,,,,,,,,2013,Town Highway,7/2/2013,Round,Plastic Smooth,Concrete,15,15,30,Good,No
a40e1680-4a46-47e5-b369-3567efb51cc0,ANDOVER,1,43.25242222,-72.68736579,,,,,,,,,2011,Town Highway,9/30/2014,Round,Steel Corrugated,Stone masonry,16,16,40,Good,No
f084e4d3-8596-469b-8cb2-35713750bedb,TINMOUTH,1,43.48062876,-73.07564447,,,,,,,,,1979,Town Highway,5/20/2020,Round,Steel Corrugated,Concrete,12,12,20,Good,No
392c948b-3ab8-4e51-931a-35b1363ae502,CHARLESTON,1,44.89367312,-72.06672825,,,,,,,,,2012,"Private, (other than railroad)",5/7/2014,Round,Plastic Smooth,Rip-rap,15,15,20,Excellent,No
fd55358c-89db-49e5-8de9-36594f85af26,WEATHERSFIELD,1,43.3552651,-72.45148189,,,,,,,,,2012,Town Highway,5/19/2014,Round,Plastic Corrugated,Concrete,18,18,28,Good,No
54531636-bc43-4670-afe1-3699d02c0550,READING,3,43.46865946,-72.57810327,,,,,,,,,1996,Town Highway,6/13/2016,Round,Plastic Corrugated,Stone masonry,24,24,50,Good,No
fda0e76a-118d-4bbc-add3-36abad6438b7,BOLTON,1,44.352682,-72.918613,,,,,,,,,2016,Town Highway,7/19/2018,Round,Plastic Corrugated,Stone masonry,26,26,25,Excellent,No
79c4be02-4fa5-4efd-b319-36b306e5c346,ANDOVER,1,43.31591769,-72.68718653,,,,,,,,,2008,Town Highway,9/1/2013,Round,Plastic Corrugated,Stone masonry,18,18,30,Good,No
b81bfbf3-e7ef-49b2-a5b3-36d4283f3b7e,NORTON,1,44.99718125,-71.74868134,,,,,,,,,2017,"Private, (other than railroad)",9/20/2017,Round,Plastic Corrugated,Stone masonry,18,18,20,Excellent,No
